Variables,Numbers,,,,,,,monthly,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Quarterly,1 to 3,4 to 6,7 to 9,10 to 12,13 to 15,16 to 18,19 to 21,22 to 24
cost per inbound call,20,,,Year 1,Year 2,Year 3,,Agents,4,4,4,8,8,8,12,12,12,16,16,16,20,20,20,24,24,24,28,28,28,32,32,32,HHs,213,541,870,1198,1526,1854,2182,2510
Percentage of Inbound calls,50%,,Annual Revenue,"$764,615","$2,096,101",,,Total Calls,1167,1167,1167,2333,2333,2333,3500,3500,3500,4667,4667,4667,5833,5833,5833,7000,7000,7000,8167,8167,8167,9333,9333,9333,Autos,320,812,1304,1796,2289,2781,3273,3765
Inbound Calls Conversion,15%,,Residuals,0,"$573,461","$2,070,463",,Total Sales,73,95,117,219,241,263,365,386,408,510,532,554,656,678,700,802,824,846,948,970,992,1094,1116,1138,Home,53,135,217,299,381,463,546,628
cost per transfer,7,,Annual Cost,"$548,962","$1,447,216",,,Issued Sales,55,71,88,164,180,197,273,290,306,383,399,416,492,509,525,602,618,634,711,727,744,820,837,853,Auto prem,"$382,946","$972,095","$1,561,243","$2,150,392","$2,739,540","$3,328,689","$3,917,837","$4,506,986"
Percentage of Transfers,50%,,Annual Profit,"$215,654","$1,222,346",,,Auto Prem,"$98,191","$127,649","$157,106","$294,574","$324,032","$353,489","$490,957","$520,414","$549,872","$687,340","$716,797","$746,255","$883,723","$913,180","$942,638","$1,080,105","$1,109,563","$1,139,020","$1,276,488","$1,305,946","$1,335,403","$1,472,871","$1,502,329","$1,531,786",Auto Comp,"$45,954","$116,651","$187,349","$258,047","$328,745","$399,443","$470,140","$540,838"
Transfers Conversion,10%,,,,,,,  Auto Comp,"$11,783","$15,318","$18,853","$35,349","$38,884","$42,419","$58,915","$62,450","$65,985","$82,481","$86,016","$89,551","$106,047","$109,582","$113,117","$129,613","$133,148","$136,682","$153,179","$156,713","$160,248","$176,745","$180,279","$183,814",Home prem,"$78,914","$200,320","$321,727","$443,133","$564,539","$685,945","$807,352","$928,758"
Totals Calls per Agent,14,,,,,,,Fire Prem,"$20,234","$26,305","$32,375","$60,703","$66,773","$72,844","$101,172","$107,242","$113,313","$141,641","$147,711","$153,781","$182,109","$188,180","$194,250","$222,578","$228,648","$234,719","$263,047","$269,117","$275,188","$303,516","$309,586","$315,656",Fire Comp,"$11,837","$30,048","$48,259","$66,470","$84,681","$102,892","$121,103","$48,259"
Avg Auto Premium,"$1,197",,Total HHS,2822,8072,10188,,Fire comp,"$3,035","$3,946","$4,856","$9,105","$10,016","$10,927","$15,176","$16,086","$16,997","$21,246","$22,157","$23,067","$27,316","$28,227","$29,138","$33,387","$34,297","$35,208","$39,457","$40,368","$41,278","$45,527","$46,438","$47,348",Total REvenue,"$57,791","$146,699","$235,608","$324,517","$413,426","$502,334","$591,243","$589,097"
Avg Home Premium,"$1,480",,Total Autos,4233,12108,15282,,Total Revenue,"$14,818","$19,264","$23,709","$44,454","$48,900","$53,345","$74,091","$78,536","$82,982","$103,727","$108,172","$112,618","$133,363","$137,809","$142,254","$162,999","$167,445","$171,890","$192,636","$197,081","$201,527","$222,272","$226,717","$231,163",Agent Comp,"$5,779","$14,670","$23,561","$32,452","$41,343","$50,233","$59,124","$68,015"
Auto Comp,12%,,Total Fire,705,2018,2547,,Agent Comp,"$1,482","$1,926","$2,371","$4,445","$4,890","$5,335","$7,409","$7,854","$8,298","$10,373","$10,817","$11,262","$13,336","$13,781","$14,225","$16,300","$16,744","$17,189","$19,264","$19,708","$20,153","$22,227","$22,672","$23,116",Call Cost,"$47,250","$94,500","$141,750","$189,000","$236,250","$283,500","$330,750","$378,000"
Home Comp,15%,,Auto Premium,"$5,066,677","$3,800,007",,,Call Cost,"$15,750","$15,750","$15,750","$31,500","$31,500","$31,500","$47,250","$47,250","$47,250","$63,000","$63,000","$63,000","$78,750","$78,750","$78,750","$94,500","$94,500","$94,500","$110,250","$110,250","$110,250","$126,000","$126,000","$126,000",Total Cost,"$53,029","$109,170","$165,311","$221,452","$277,593","$333,733","$389,874","$446,015"
Multiline Percentage,25%,,Fire Premium,"$1,044,094","$783,070",,,Total Cost,"$17,232","$17,676","$18,121","$35,945","$36,390","$36,835","$54,659","$55,104","$55,548","$73,373","$73,817","$74,262","$92,086","$92,531","$92,975","$110,800","$111,244","$111,689","$129,514","$129,958","$130,403","$148,227","$148,672","$149,116",Profit,"$4,762","$37,529","$70,297","$103,065","$135,833","$168,601","$201,369","$143,082"
Autos per HH,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apps to Issue,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgentComp per hour,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikram share,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasir share,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy share,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workingDays/Yr,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days/month,20.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore closers auto comp,1.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore closers fire comp,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st month realistic,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd month realistic,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd month realistic,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
